Team_away, Conf_away, AjdEM_away, AdjO_away, AdjD_away, AdjT_away, Luck_away, SOS_AdjEM_away, SOS_OppO_away, SOS_OppD_away, NCSOS_AdjEM_away,Team_home, Conf_home, AjdEM_home, AdjO_home, AdjD_home, AdjT_home, Luck_home, SOS_AdjEM_home, SOS_OppO_home, SOS_OppD_home, NCSOS_AdjEM_home,Date,Away_Team,Away_Score,Home_Team,Home_Score,Spread,Total
Texas Tech,B12,25.64,110.7,85.0,66.5,-0.031,10.98,107.8,96.8,-8.24,TCU,B12,17.02,108.7,91.7,65.9,0.014,11.74,108.0,96.2,-5.0,2022-02-26,Texas Tech,66.0,TCU,69.0,-3.0,135.0
Texas Tech,B12,25.64,110.7,85.0,66.5,-0.031,10.98,107.8,96.8,-8.24,Oklahoma,B12,16.48,111.0,94.6,65.1,-0.054,11.73,107.5,95.8,-2.04,2022-02-09,Texas Tech,55.0,Oklahoma,70.0,-15.0,125.0
Texas Tech,B12,25.64,110.7,85.0,66.5,-0.031,10.98,107.8,96.8,-8.24,Providence,BE,15.89,111.5,95.6,65.2,0.164,7.74,106.7,99.0,0.26,2021-12-01,Texas Tech,68.0,Providence,72.0,-4.0,140.0
Texas Tech,B12,25.64,110.7,85.0,66.5,-0.031,10.98,107.8,96.8,-8.24,Oklahoma St.,B12,15.6,103.8,88.2,67.6,-0.074,11.8,108.2,96.4,0.26,2022-03-05,Texas Tech,51.0,Oklahoma St.,52.0,-1.0,103.0
Texas Tech,B12,25.64,110.7,85.0,66.5,-0.031,10.98,107.8,96.8,-8.24,Iowa St.,B12,14.63,103.1,88.5,66.3,0.049,11.25,108.1,96.9,-6.84,2022-01-05,Texas Tech,47.0,Iowa St.,51.0,-4.0,98.0
Texas Tech,B12,25.64,110.7,85.0,66.5,-0.031,10.98,107.8,96.8,-8.24,Kansas St.,B12,12.6,109.6,97.0,66.6,-0.092,11.66,107.3,95.7,-4.37,2022-01-15,Texas Tech,51.0,Kansas St.,62.0,-11.0,113.0
Texas Tech,B12,25.64,110.7,85.0,66.5,-0.031,10.98,107.8,96.8,-8.24,West Virginia,B12,11.76,108.3,96.6,68.0,-0.001,12.52,108.4,95.9,-0.37,2022-02-05,Texas Tech,60.0,West Virginia,53.0,7.0,113.0
Texas Tech,B12,25.64,110.7,85.0,66.5,-0.031,10.98,107.8,96.8,-8.24,Incarnate Word,Slnd,-21.92,94.8,116.7,64.6,-0.008,-6.39,100.5,106.9,1.05,2021-11-20,Texas Tech,84.0,Incarnate Word,62.0,22.0,146.0
Duke,ACC,25.15,121.1,95.9,67.3,-0.01,8.22,107.8,99.6,-4.58,North Carolina,ACC,20.13,114.4,94.3,70.2,0.072,9.9,109.0,99.1,3.79,2022-02-05,Duke,87.0,North Carolina,67.0,20.0,154.0
Duke,ACC,25.15,121.1,95.9,67.3,-0.01,8.22,107.8,99.6,-4.58,Ohio St.,B10,16.24,115.5,99.3,65.0,-0.017,9.83,108.3,98.4,2.31,2021-11-30,Duke,66.0,Ohio St.,71.0,-5.0,137.0
Duke,ACC,25.15,121.1,95.9,67.3,-0.01,8.22,107.8,99.6,-4.58,Wake Forest,ACC,15.56,110.7,95.1,70.6,-0.001,4.3,106.3,102.0,-9.39,2022-01-12,Duke,76.0,Wake Forest,64.0,12.0,140.0
Duke,ACC,25.15,121.1,95.9,67.3,-0.01,8.22,107.8,99.6,-4.58,Notre Dame,ACC,15.25,112.4,97.2,65.6,0.017,7.81,107.1,99.3,2.7,2022-01-31,Duke,57.0,Notre Dame,43.0,14.0,100.0
Duke,ACC,25.15,121.1,95.9,67.3,-0.01,8.22,107.8,99.6,-4.58,Syracuse,ACC,11.45,115.4,104.0,67.6,-0.065,8.15,107.4,99.3,3.25,2022-02-26,Duke,97.0,Syracuse,72.0,25.0,169.0
Duke,ACC,25.15,121.1,95.9,67.3,-0.01,8.22,107.8,99.6,-4.58,Clemson,ACC,11.36,110.1,98.8,66.3,-0.083,6.77,107.0,100.2,-0.41,2022-02-10,Duke,82.0,Clemson,64.0,18.0,146.0
Duke,ACC,25.15,121.1,95.9,67.3,-0.01,8.22,107.8,99.6,-4.58,Virginia,ACC,11.23,107.6,96.4,59.5,0.025,7.03,107.3,100.2,-4.06,2022-02-23,Duke,65.0,Virginia,61.0,4.0,126.0
Duke,ACC,25.15,121.1,95.9,67.3,-0.01,8.22,107.8,99.6,-4.58,Florida St.,ACC,6.2,105.3,99.1,67.8,0.075,7.96,109.1,101.1,0.04,2022-01-18,Duke,78.0,Florida St.,79.0,-1.0,157.0
Duke,ACC,25.15,121.1,95.9,67.3,-0.01,8.22,107.8,99.6,-4.58,Boston College,ACC,4.55,104.5,100.0,64.9,-0.08,5.61,105.7,100.1,-6.99,2022-02-12,Duke,72.0,Boston College,61.0,11.0,133.0
Duke,ACC,25.15,121.1,95.9,67.3,-0.01,8.22,107.8,99.6,-4.58,Louisville,ACC,3.59,103.0,99.4,67.0,0.001,7.52,107.6,100.1,1.52,2022-01-29,Duke,74.0,Louisville,65.0,9.0,139.0
Duke,ACC,25.15,121.1,95.9,67.3,-0.01,8.22,107.8,99.6,-4.58,Pittsburgh,ACC,-1.76,99.7,101.5,64.0,0.05,7.0,107.5,100.5,0.3,2022-03-01,Duke,86.0,Pittsburgh,56.0,30.0,142.0
Tennessee,SEC,25.1,111.5,86.4,67.4,0.029,11.39,108.5,97.1,4.85,Kentucky,SEC,25.72,120.0,94.3,67.5,-0.043,8.88,106.5,97.6,-2.72,2022-01-15,Tennessee,79.0,Kentucky,107.0,-28.0,186.0
Tennessee,SEC,25.1,111.5,86.4,67.4,0.029,11.39,108.5,97.1,4.85,Texas,B12,20.88,112.5,91.6,63.8,-0.043,10.68,107.7,97.0,-8.15,2022-01-29,Tennessee,51.0,Texas,52.0,-1.0,103.0
Tennessee,SEC,25.1,111.5,86.4,67.4,0.029,11.39,108.5,97.1,4.85,North Carolina,ACC,20.13,114.4,94.3,70.2,0.072,9.9,109.0,99.1,3.79,2021-11-21,Tennessee,89.0,North Carolina,72.0,17.0,161.0
Tennessee,SEC,25.1,111.5,86.4,67.4,0.029,11.39,108.5,97.1,4.85,Arkansas,SEC,19.46,109.9,90.4,70.7,0.038,9.08,107.5,98.4,-2.78,2022-02-19,Tennessee,48.0,Arkansas,58.0,-10.0,106.0
Tennessee,SEC,25.1,111.5,86.4,67.4,0.029,11.39,108.5,97.1,4.85,LSU,SEC,18.65,107.3,88.7,68.6,-0.052,9.1,107.2,98.1,-1.21,2022-01-08,Tennessee,67.0,LSU,79.0,-12.0,146.0
Tennessee,SEC,25.1,111.5,86.4,67.4,0.029,11.39,108.5,97.1,4.85,Alabama,SEC,16.57,115.2,98.6,71.9,-0.022,12.58,109.4,96.9,10.15,2021-12-29,Tennessee,68.0,Alabama,73.0,-5.0,141.0
Tennessee,SEC,25.1,111.5,86.4,67.4,0.029,11.39,108.5,97.1,4.85,Mississippi St.,SEC,13.86,109.7,95.8,65.6,-0.087,7.96,106.3,98.3,-1.63,2022-02-09,Tennessee,72.0,Mississippi St.,63.0,9.0,135.0
